Sr. No,Sample ID,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
762,SSBS/S/2022/762,27-04-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
763,SSBS/S/2022/763,27-04-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
764,SSBS/S/2022/764,27-04-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
765,SSBS/S/2022/765,27-04-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
766,SSBS/S/2022/766,28-04-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
767,SSBS/S/2022/767,28-04-2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
768,SSBS/S/2022/768,28-04-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
769,SSBS/S/2022/769,28-04-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
770,SSBS/S/2022/770,28-04-2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
771,SSBS/S/2022/771,29-04-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
772,SSBS/S/2022/772,29-04-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
773,SSBS/S/2022/773,29-04-2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
774,SSBS/S/2022/774,29-04-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
775,SSBS/S/2022/775,29-04-2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
776,SSBS/S/2022/776,2/5/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
777,SSBS/S/2022/777,2/5/2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
778,SSBS/S/2022/778,2/5/2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
779,SSBS/S/2022/779,2/5/2022,Kothrud Karve road,Genepath,0,0,0,Negative
780,SSBS/S/2022/780,2/5/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
781,SSBS/S/2022/781,2/5/2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
782,SSBS/S/2022/782,4/5/2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
783,SSBS/S/2022/783,4/5/2022,"Balewadi Phata, Baner",Genepath,0,0,0,Positive
784,SSBS/S/2022/784,4/5/2022,Aundh,Genepath,0,0,0,Negative
785,SSBS/S/2022/785,4/5/2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
786,SSBS/S/2022/786,4/5/2022," Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
787,SSBS/S/2022/787,4/5/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
788,SSBS/S/2022/788,5/5/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
789,SSBS/S/2022/789,5/5/2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
790,SSBS/S/2022/790,5/5/2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
791,SSBS/S/2022/791,5/5/2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
792,SSBS/S/2022/792,5/5/2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
793,SSBS/S/2022/793,6/5/2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
794,SSBS/S/2022/794,6/5/2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
795,SSBS/S/2022/795,6/5/2022,"Wolf Colony, Pimpri",Genepath,33.7,36.8,34.1,Positive
796,SSBS/S/2022/796,6/5/2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
797,SSBS/S/2022/797,6/5/2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
798,SSBS/S/2022/798,9/5/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
799,SSBS/S/2022/799,9/5/2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
800,SSBS/S/2022/800,9/5/2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
801,SSBS/S/2022/801,9/5/2022,Kothrud Karve road,Genepath,0,0,0,Negative
802,SSBS/S/2022/802,9/5/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
803,SSBS/S/2022/803,9/5/2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
804,SSBS/S/2022/804,10/5/2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
805,SSBS/S/2022/805,10/5/2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
806,SSBS/S/2022/806,10/5/2022,Aundh,Genepath,0,0,0,Negative
807,SSBS/S/2022/807,10/5/2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
808,SSBS/S/2022/808,10/5/2022," Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
809,SSBS/S/2022/809,10/5/2022,"DP road, Botanical Garden, Aundh,",Genepath,0,0,0,Negative
810,SSBS/S/2022/810,11/5/2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
811,SSBS/S/2022/811,11/5/2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
812,SSBS/S/2022/812,11/5/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
813,SSBS/S/2022/813,11/5/2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
814,SSBS/S/2022/814,11/5/2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
815,SSBS/S/2022/815,11/5/2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Positive
816,SSBS/S/2022/816,12/5/2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
817,SSBS/S/2022/817,12/5/2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
818,SSBS/S/2022/818,12/5/2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
819,SSBS/S/2022/819,12/5/2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
820,SSBS/S/2022/820,12/5/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
821,SSBS/S/2022/821,13-05-2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
822,SSBS/S/2022/822,13-05-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
823,SSBS/S/2022/823,13-05-2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
824,SSBS/S/2022/824,13-05-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
825,SSBS/S/2022/825,13-05-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
826,SSBS/S/2022/826,16-05-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
827,SSBS/S/2022/827,16-05-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
828,SSBS/S/2022/828,16-05-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
829,SSBS/S/2022/829,16-05-2022,Kothrud Karve road,Genepath,0,0,0,Negative
830,SSBS/S/2022/830,16-05-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
831,SSBS/S/2022/831,16-05-2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
832,SSBS/S/2022/832,17-05-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
833,SSBS/S/2022/833,17-05-2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
834,SSBS/S/2022/834,17-05-2022,Aundh,Genepath,0,0,0,Negative
835,SSBS/S/2022/835,17-05-2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
836,SSBS/S/2022/836,17-05-2022," Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
837,SSBS/S/2022/837,17-05-2022,"DP road, Botanical Garden, Aundh,",Genepath,0,0,0,Negative
838,SSBS/S/2022/838,18-05-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
839,SSBS/S/2022/839,18-05-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
840,SSBS/S/2022/840,18-05-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
841,SSBS/S/2022/841,18-05-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
842,SSBS/S/2022/842,18-05-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
843,SSBS/S/2022/843,18-05-2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
844,SSBS/S/2022/844,19-05-2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
845,SSBS/S/2022/845,19-05-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
846,SSBS/S/2022/846,19-05-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
847,SSBS/S/2022/847,19-05-2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
848,SSBS/S/2022/848,19-05-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
849,SSBS/S/2022/849,20-05-2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
850,SSBS/S/2022/850,20-05-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
851,SSBS/S/2022/851,20-05-2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
852,SSBS/S/2022/852,20-05-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
853,SSBS/S/2022/853,20-05-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
854,SSBS/S/2022/854,23-05-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
855,SSBS/S/2022/855,23-05-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
856,SSBS/S/2022/856,23-05-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
857,SSBS/S/2022/857,23-05-2022,Kothrud Karve road,Genepath,0,0,0,Negative
858,SSBS/S/2022/858,23-05-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
859,SSBS/S/2022/859,23-05-2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
860,SSBS/S/2022/860,24-05-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
861,SSBS/S/2022/861,24-05-2022,"Balewadi Phata, Baner",Genepath,33,35,34,Positive
862,SSBS/S/2022/862,24-05-2022,Aundh,Genepath,0,0,0,Negative
863,SSBS/S/2022/863,24-05-2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
864,SSBS/S/2022/864,24-05-2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
865,SSBS/S/2022/865,24-05-2022,"DP road, Botanical Garden, Aundh,",Genepath,0,0,0,Negative
866,SSBS/S/2022/866,25-05-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
867,SSBS/S/2022/867,25-05-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
868,SSBS/S/2022/868,25-05-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
869,SSBS/S/2022/869,25-05-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
870,SSBS/S/2022/870,25-05-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
871,SSBS/S/2022/871,25-05-2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
872,SSBS/S/2022/872,26-05-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
873,SSBS/S/2022/873,26-05-2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
874,SSBS/S/2022/874,26-05-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
875,SSBS/S/2022/875,26-05-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
876,SSBS/S/2022/876,26-05-2022,Dapodi-Sangvi,Genepath,0,34.68,33.63,Positive
877,SSBS/S/2022/877,27-05-2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
878,SSBS/S/2022/878,27-05-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
879,SSBS/S/2022/879,27-05-2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
880,SSBS/S/2022/880,27-05-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
881,SSBS/S/2022/881,27-05-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
882,SSBS/S/2022/882,30-05-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
883,SSBS/S/2022/883,30-05-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
884,SSBS/S/2022/884,30-05-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
885,SSBS/S/2022/885,30-05-2022,Kothrud Karve road,Genepath,0,0,0,Negative
886,SSBS/S/2022/886,30-05-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
887,SSBS/S/2022/887,30-05-2022,"Bus Depot (main), Kothrud",Genepath,34.79,34.1,0,Positive
888,SSBS/S/2022/888,31-05-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
889,SSBS/S/2022/889,31-05-2022,"Balewadi Phata, Baner",Genepath,34.6,34.01,0,Positive
890,SSBS/S/2022/890,31-05-2022,Aundh,Genepath,0,0,0,Negative
891,SSBS/S/2022/891,31-05-2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
892,SSBS/S/2022/892,31-05-2022," Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
893,SSBS/S/2022/893,31-05-2022,"DP road, Botanical Garden, Aundh,",Genepath,34.67,34.34,0,Positive
894,SSBS/S/2022/894,1/6/2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
895,SSBS/S/2022/895,1/6/2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
896,SSBS/S/2022/896,1/6/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
897,SSBS/S/2022/897,1/6/2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
898,SSBS/S/2022/898,1/6/2022,"Shantinagar, Vishrantwadi",Genepath,35.01,32.56,34.26,Positive
899,SSBS/S/2022/899,2/6/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
900,SSBS/S/2022/900,2/6/2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
901,SSBS/S/2022/901,2/6/2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
902,SSBS/S/2022/902,2/6/2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
903,SSBS/S/2022/903,2/6/2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
904,SSBS/S/2022/904,3/6/2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
905,SSBS/S/2022/905,3/6/2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
906,SSBS/S/2022/906,3/6/2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
907,SSBS/S/2022/907,3/6/2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
908,SSBS/S/2022/908,3/6/2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
909,SSBS/S/2022/909,6/6/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
910,SSBS/S/2022/910,6/6/2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
911,SSBS/S/2022/911,6/6/2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
912,SSBS/S/2022/912,6/6/2022,Kothrud Karve road,Genepath,0,0,0,Negative
913,SSBS/S/2022/913,6/6/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,6920,34,33,34
914,SSBS/S/2022/914,6/6/2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
915,SSBS/S/2022/915,7/6/2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
916,SSBS/S/2022/916,7/6/2022,"Balewadi Phata, Baner",Genepath,21100,32,31,33
917,SSBS/S/2022/917,7/6/2022,Aundh,Genepath,0,0,0,Negative
918,SSBS/S/2022/918,7/6/2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
919,SSBS/S/2022/919,7/6/2022," Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
920,SSBS/S/2022/920,7/6/2022,"DP road, Botanical Garden, Aundh,",Genepath,0,0,0,Negative
921,SSBS/S/2022/921,8/6/2022,"Dattawadi, Rajaram Bridge",Genepath,33,32,34,Positive
922,SSBS/S/2022/922,8/6/2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
923,SSBS/S/2022/923,8/6/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
924,SSBS/S/2022/924,8/6/2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
925,SSBS/S/2022/925,8/6/2022,"Shantinagar, Vishrantwadi",Genepath,34,32,33,Positive
926,SSBS/S/2022/926,9/6/2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
927,SSBS/S/2022/927,9/6/2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
928,SSBS/S/2022/928,9/6/2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
929,SSBS/S/2022/929,9/6/2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
930,SSBS/S/2022/930,9/6/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
931,SSBS/S/2022/931,10/6/2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
932,SSBS/S/2022/932,10/6/2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
933,SSBS/S/2022/933,10/6/2022,"Wolf Colony, Pimpri",Genepath,37,33,34,Positive
934,SSBS/S/2022/934,10/6/2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
935,SSBS/S/2022/935,10/6/2022,"Rahatani, New DP road",Genepath,31,35,35,Positive
936,SSBS/S/2022/936,13-06-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,30,36,35,Positive
937,SSBS/S/2022/937,13-06-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,32,38,35,Positive
938,SSBS/S/2022/938,13-06-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Positive
939,SSBS/S/2022/939,13-06-2022,Kothrud Karve road,Genepath,0,0,0,Negative
940,SSBS/S/2022/940,13-06-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,35,35,34,Positive
941,SSBS/S/2022/941,13-06-2022,"Bus Depot (main), Kothrud",Genepath,30,34,33,Positive
942,SSBS/S/2022/942,14-06-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
943,SSBS/S/2022/943,14-06-2022,"Balewadi Phata, Baner",Genepath,31,34,34,Positive
944,SSBS/S/2022/944,14-06-2022,Aundh,Genepath,0,0,0,Negative
945,SSBS/S/2022/945,14-06-2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
946,SSBS/S/2022/946,14-06-2022," Jai Bhavani Nagar, Pashan",Genepath,36,36,35,Positive
947,SSBS/S/2022/947,14-06-2022,"DP road, Botanical Garden, Aundh,",Genepath,0,0,0,Negative
948,SSBS/S/2022/948,15-06-2022,"Dattawadi, Rajaram Bridge",Genepath,30,35,34,Positive
949,SSBS/S/2022/949,15-06-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,30,36,34,Positive
950,SSBS/S/2022/950,15-06-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,30,35,34,Positive
951,SSBS/S/2022/951,15-06-2022,"RTO Office, Alandi road, Yerwada",Genepath,37,35,36,Positive
952,SSBS/S/2022/952,15-06-2022,"Shantinagar, Vishrantwadi",Genepath,29,33,33,Positive
953,SSBS/S/2022/953,16-06-2022,Dapodi-Sangvi,Genepath,30,35,36,Positive
954,SSBS/S/2022/954,16-06-2022,"60-feet road, Pimple Gurav",Genepath,31,36,36,Positive
955,SSBS/S/2022/955,16-06-2022,"Kasarwadi, Pimple gurav road",Genepath,37,34,33,Positive
956,SSBS/S/2022/956,16-06-2022,"Shastri Nagar, Pimpri",Genepath,31,36,35,Positive
957,SSBS/S/2022/957,16-06-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
958,SSBS/S/2022/958,17-06-2022,Dapodi Harris Bridge,Genepath,30,36,36,Positive
959,SSBS/S/2022/959,17-06-2022,"Dapodi, Sai service",Genepath,25,35,33,Positive
960,SSBS/S/2022/960,17-06-2022,"Wolf Colony, Pimpri",Genepath,29,36,35,Positive
961,SSBS/S/2022/961,17-06-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
962,SSBS/S/2022/962,17-06-2022,"Rahatani, New DP road",Genepath,29,34,32,Positive
963,SSBS/S/2022/963,20-06-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
964,SSBS/S/2022/964,20-06-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,30,35,34,Positive
965,SSBS/S/2022/965,20-06-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
966,SSBS/S/2022/966,20-06-2022,Kothrud Karve road,Genepath,0,0,0,Negative
967,SSBS/S/2022/967,20-06-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,31,34,33,Positive
968,SSBS/S/2022/968,20-06-2022,"Bus Depot (main), Kothrud",Genepath,25,30,29,Positive
969,SSBS/S/2022/969,21-06-2022," Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
970,SSBS/S/2022/970,21-06-2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
971,SSBS/S/2022/971,21-06-2022,Aundh,Genepath,35,38,35,Positive
972,SSBS/S/2022/972,21-06-2022,"DP road, Botanical Garden, Aundh,",Genepath,30,36,34,Positive
973,SSBS/S/2022/973,21-06-2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
974,SSBS/S/2022/974,21-06-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
975,SSBS/S/2022/975,22-06-2022,"Dattawadi, Rajaram Bridge",Genepath,27,31,30,Positive
976,SSBS/S/2022/976,22-06-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,28,32,31,Positive
977,SSBS/S/2022/977,22-06-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,30,33,33,Positive
978,SSBS/S/2022/978,23-06-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
979,SSBS/S/2022/979,23-06-2022,"Shastri Nagar, Pimpri",Genepath,32,35,33,Positive
980,SSBS/S/2022/980,23-06-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
981,SSBS/S/2022/981,23-06-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
982,SSBS/S/2022/982,23-06-2022,Dapodi-Sangvi,Genepath,31,33,34,Positive
983,SSBS/S/2022/983,24-06-2022,"Rahatani, New DP road",Genepath,30,33,32,Positive
984,SSBS/S/2022/984,24-06-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
985,SSBS/S/2022/985,24-06-2022,"Dapodi, Sai service",Genepath,32,34,33,Positive
986,SSBS/S/2022/986,24-06-2022,Dapodi Harris Bridge,Genepath,33,39,34,Positive
987,SSBS/S/2022/987,24-06-2022,"Wolf Colony, Pimpri",Genepath,33,37,34,Positive
988,SSBS/S/2022/988,27-06-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,28.7,33,32.4,Positive
989,SSBS/S/2022/989,27-06-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,30.2,33.2,32.1,Positive
990,SSBS/S/2022/990,27-06-2022,Kothrud Sanjeevan hospital,Genepath,32.8,36.9,34.9,Positive
991,SSBS/S/2022/991,27-06-2022,Kothrud Karve road,Genepath,0,0,0,Negative
992,SSBS/S/2022/992,27-06-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,28.3,32.4,31.2,Positive
993,SSBS/S/2022/993,27-06-2022,"Bus Depot (main), Kothrud",Genepath,27.7,31.4,30.7,Positive
994,SSBS/S/2022/994,28-06-2022," Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
995,SSBS/S/2022/995,28-06-2022,"  Someshwarwadi, Pashan",Genepath,30.5,34.1,33.2,Positive
996,SSBS/S/2022/996,28-06-2022,Aundh,Genepath,28.8,32.7,31.8,Positive
997,SSBS/S/2022/997,28-06-2022,"DP road, Botanical Garden, Aundh,",Genepath,31.8,34.5,33.2,Positive
998,SSBS/S/2022/998,28-06-2022,"Balewadi Phata, Baner",Genepath,27.9,32.2,31.4,Positive
999,SSBS/S/2022/999,28-06-2022,"Mahalunge Road, Baner",Genepath,31.9,35.5,34.3,Positive
1000,SSBS/S/2022/1000,29-06-2022,"Shantinagar, Vishrantwadi",Genepath,28.8,32.5,32,Positive
1001,SSBS/S/2022/1001,29-06-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
1002,SSBS/S/2022/1002,29-06-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,29.2,33,31.9,Positive
1003,SSBS/S/2022/1003,29-06-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,33.8,38.7,35,Positive
1004,SSBS/S/2022/1004,29-06-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
1005,SSBS/S/2022/1005,30-06-2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
1006,SSBS/S/2022/1006,30-06-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
1007,SSBS/S/2022/1007,30-06-2022,"Kasarwadi, Pimple gurav road",Genepath,32.1,32.8,33.6,Positive
1008,SSBS/S/2022/1008,30-06-2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
1009,SSBS/S/2022/1009,30-06-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
1010,SSBS/M/2022/1010,1/7/2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
1011,SSBS/M/2022/1011,1/7/2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
1012,SSBS/M/2022/1012,1/7/2022,"Wolf Colony, Pimpri",Genepath,29.2,33.4,32.4,Positive
1013,SSBS/M/2022/1013,1/7/2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
1014,SSBS/M/2022/1014,1/7/2022,Dapodi Harris Bridge,Genepath,34.2,0,34.9,Positive
1015,SSBS/M/2022/1015,4/7/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,28.2,33.4,32.3,Positive
1016,SSBS/M/2022/1016,4/7/2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,26.5,31,30.1,Positive
1017,SSBS/M/2022/1017,4/7/2022,Kothrud Sanjeevan hospital,Genepath,29,33,32.3,Positive
1018,SSBS/M/2022/1018,4/7/2022,Kothrud Karve road,Genepath,0,0,0,Negative
1019,SSBS/M/2022/1019,4/7/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,27.8,32,31.1,Positive
1020,SSBS/M/2022/1020,4/7/2022,"Bus Depot (main), Kothrud",Genepath,27.6,32.5,30.9,Positive
