Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR_Result
1108,28/07/2022,"Shastri Nagar, Pimpri",0,34.8,33.1,Positive
1109,28/07/2022,"Kasarwadi, Pimple gurav road",29.5,0,32.2,Positive
1110,28/07/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
1111,28/07/2022,Dapodi/Sangvi,31.7,0,34.6,Positive
1112,29/07/2022,Dapodi Harris Bridge,30.8,34.5,33.5,Positive
1113,29/07/2022,"Dapodi, Sai service",0,34.7,0,Negative
1114,29/07/2022,"Wolf Colony, Pimpri",36.5,0,37,Negative
1115,29/07/2022,"Rahatani, New DP road",34,40.1,36.2,Negative
1116,8/1/2022,"Shivajinagar, Vaidhwadi Nala catchment",28.53,34.93,32.64,Positive
1117,8/1/2022,"Shivajinagar, Chaturshrungi Nala Catchment",31.27,36.74,34.63,Positive
1118,8/1/2022,Kothrud Sanjeevan hospital,32.26,35.43,35.7,Positive
1119,8/1/2022,Kothrud Karve road,0,0,0,Negative
1120,8/1/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",29.05,33.95,33.09,Positive
1121,8/1/2022,"Bus Depot (main), Kothrud",25.27,30.09,29.46,Positive
1122,8/2/2022,"Mahalunge Road, Baner",0,0,0,Negative
1123,8/2/2022,"Balewadi Phata, Baner",28.16,33.59,32.37,Positive
1124,8/2/2022,Aundh,0,0,0,Negative
1125,8/2/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1126,8/2/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1127,8/2/2022,"DP road, Botanical Garden, Aundh,",28.57,35.91,32.16,Positive
1128,8/3/2022," Dattawadi, Rajaram Bridge",30.75,35.52,34.12,Positive
1129,8/3/2022,"Vitthalwadi/Hingne Shantinagar,",29.96,33.32,34.25,Positive
1130,8/3/2022," Kasba Peth, Juna Bazaar, Shivajinagar",29.8,34.13,33.43,Positive
1131,8/3/2022,"RTO Office, Alandi road, Yerwada",30.7,34.97,33.8,Positive
1132,8/3/2022,"Shantinagar, Vishrantwadi",30.09,35.42,33.64,Positive
1133,8/4/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1134,8/4/2022,"Shastri Nagar, Pimpri",31.57,38.73,35.33,Positive
1135,8/4/2022,"Kasarwadi, Pimple gurav road",36.48,39.2,36.53,Negative
1136,8/4/2022,Dapodi/Sangvi,0,0,36.84,Negative
1137,8/4/2022,"60/feet road, Pimple Gurav",28.36,33.93,32.83,Positive
1138,8/5/2022,"Rahatani, New DP road",26.31,0,0,Negative
1139,8/5/2022,"Wolf Colony, Pimpri",29.2,35.18,32.98,Positive
1140,8/5/2022,"Dapodi, Sai service",33.19,39.22,36.74,Negative
1141,8/5/2022,Dapodi Harris Bridge,0,0,0,Negative
1142,8/8/2022,"Shivajinagar, Vaidhwadi Nala catchment",31.27,37.03,36.59,Negative
1143,8/8/2022,"Shivajinagar, Chaturshrungi Nala Catchment",30.42,37.39,34.57,Positive
1144,8/8/2022,Kothrud Sanjeevan hospital,31.64,38.5,38.95,Negative
1145,8/8/2022,Kothrud Karve road,32.99,37.37,36.25,Positive
1146,8/8/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",30.42,35.86,34.04,Positive
1147,8/8/2022,"Bus Depot (main), Kothrud",31.21,0,36.27,Negative
1148,8/9/2022,"Mahalunge Road, Baner",24.9,27.87,0,Positive
1149,8/9/2022,"Balewadi Phata, Baner",28.76,34.31,32.46,Positive
1150,8/9/2022,Aundh,33.1,36.15,34.64,Positive
1151,8/9/2022,"  Someshwarwadi, Pashan",37.7,0,38.99,Negative
1152,8/9/2022," Jai Bhavani Nagar, Pashan",40.86,0,0,Negative
1153,8/9/2022,"DP road, Botanical Garden, Aundh,",28.87,36.59,32.34,Positive
1154,8/10/2022,"Shantinagar, Vishrantwadi",30.08,36.21,33.57,Positive
1155,8/10/2022,"RTO Office, Alandi road, Yerwada",30.96,36.77,33.79,Positive
1156,8/10/2022," Kasba Peth, Juna Bazaar, Shivajinagar",28.53,33.59,32.4,Positive
1157,8/10/2022," Dattawadi, Rajaram Bridge",32.3,32.89,33.4,Positive
1158,8/10/2022,Vitthalwadi/Hingne Shantinagar,30.11,35.49,32.42,Positive
1159,8/12/2022,"Aditya Birla Hospital Road, Under bridge",40.72,0,35.87,Negative
1160,8/12/2022,"Shastri Nagar, Pimpri",36.63,38.79,33.44,Negative
1161,8/12/2022,"Kasarwadi, Pimple gurav road",38.37,37.13,34.25,Negative
1162,8/12/2022,Dapodi/Sangvi,29.81,0,0,Negative
1163,16/08/2022,"Mahalunge Road, Baner",35.62,38.26,38.9,Negative
1164,16/08/2022,"Balewadi Phata, Baner",31.56,34.32,31.43,Positive
1165,16/08/2022,Aundh,0,34.61,25.42,Positive
1166,16/08/2022,"  Someshwarwadi, Pashan",36.69,0,32.98,Negative
1167,16/08/2022," Jai Bhavani Nagar, Pashan",0,39.69,33.05,Negative
1168,16/08/2022,"DP road, Botanical Garden, Aundh,",38.26,32.43,32.89,Positive
1169,17/08/2022," Dattawadi, Rajaram Bridge",29.39,31.87,30.53,Positive
1170,17/08/2022,Vitthalwadi/Hingne Shantinagar,29.34,34.62,30.89,Positive
1171,17/08/2022," Kasba Peth, Juna Bazaar, Shivajinagar",32.77,0,32.55,Positive
1172,17/08/2022,"Shantinagar, Vishrantwadi",38.36,36.17,33.74,Negative
1173,18/08/2022,"Aditya Birla Hospital Road, Under bridge",0,37.79,39.61,Negative
1174,18/08/2022,"Shastri Nagar, Pimpri",32.25,38.86,32.81,Positive
1175,18/08/2022,"Kasarwadi, Pimple gurav road",31.06,36.38,33.22,Positive
1176,18/08/2022,Dapodi/Sangvi,19.31,37.96,37.58,Negative
1177,19/08/2022,"Rahatani, New DP road",33.88,0,37.11,Negative
1178,19/08/2022,"Dapodi, Sai service",33.87,0,0,Negative
1179,19/08/2022,Dapodi Harris Bridge,0,0,0,Negative
1180,22/08/2022,"Shivajinagar, Vaidhwadi Nala catchment",29.45,37.28,32.87,Positive
1181,22/08/2022,"Shivajinagar, Chaturshrungi Nala Catchment",30.07,39.21,32.75,Positive
1182,22/08/2022,Kothrud Sanjeevan hospital,26.72,35.61,30.46,Positive
1183,22/08/2022,Kothrud Karve road,0,0,37.19,Negative
1184,22/08/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",28.19,34.65,31.85,Positive
1185,23/08/2022,"Mahalunge Road, Baner",0,0,40.87,Negative
1186,23/08/2022,"Balewadi Phata, Baner",34.77,0,36.53,Negative
1187,23/08/2022,Aundh,0,0,0,Negative
1188,23/08/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1189,23/08/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1190,23/08/2022,"DP road, Botanical Garden, Aundh,",28.34,32.77,33.98,Positive
1191,24/08/2022,Dapodi/Sangvi,29.85,38.12,0,Negative
1192,24/08/2022,"Kasarwadi, Pimple gurav road",0,0,34.91,Negative
1193,24/08/2022,"Shastri Nagar, Pimpri",32.88,0,35.73,Negative
1194,25/08/2022,"Aditya Birla Hospital Road, Under bridge",0,0,38.73,Negative
1195,25/08/2022," Dattawadi, Rajaram Bridge",35.56,0,37.84,Negative
1196,25/08/2022,Vitthalwadi/Hingne Shantinagar,39.77,0,35.55,Negative
1197,25/08/2022," Kasba Peth, Juna Bazaar, Shivajinagar",33.13,38.45,34.36,Positive
1198,26/08/2022,"Shantinagar, Vishrantwadi",29.57,35.24,32.45,Positive
1199,26/08/2022,"Rahatani, New DP road",0,35.98,32.83,Negative
1200,26/08/2022,"Dapodi, Sai service",0,0,0,Negative
1201,26/08/2022,Dapodi Harris Bridge,33.72,0,35.25,Negative
1202,29/08/2022,"Shivajinagar, Vaidhwadi Nala catchment",29.7,36.55,32.23,Positive
1203,29/08/2022,"Shivajinagar, Chaturshrungi Nala Catchment",28.66,34.63,31.83,Positive
1204,29/08/2022,Kothrud Sanjeevan hospital,33.38,39.26,36.34,Negative
1205,29/08/2022,Kothrud Karve road,30.59,35.35,33.39,Positive
1206,29/08/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",27.39,33.95,31.36,Positive
1207,29/08/2022,"Bus Depot (main), Kothrud",26.67,34.69,30.34,Positive
1208,30/08/2022,"Mahalunge Road, Baner",0,0,0,Negative
1209,30/08/2022,"Balewadi Phata, Baner",29.5,32.68,31.64,Positive
1210,30/08/2022,Aundh,27.29,0,0,Negative
1211,30/08/2022,"  Someshwarwadi, Pashan",33.68,0,0,Negative
1212,30/08/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1213,9/1/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1214,9/1/2022,"Shastri Nagar, Pimpri",29.6,36.02,32.51,Positive
1215,9/1/2022,"Kasarwadi, Pimple gurav road",32.68,35.49,34.41,Positive
1216,9/1/2022,"60/feet road, Pimple Gurav",28.84,33.29,31.23,Positive
1217,9/1/2022,Dapodi/Sangvi,0,0,0,Negative
1218,9/2/2022,"Rahatani, New DP road",37.36,0,37.04,Negative
1219,9/2/2022,"Dapodi, Sai service",34.46,0,36.61,Negative
1220,9/2/2022,Dapodi Harris Bridge,0,0,0,Negative
1221,9/5/2022,"Shivajinagar, Vaidhwadi Nala catchment",29.13,37.85,33.3,Positive
1222,9/5/2022,"Shivajinagar, Chaturshrungi Nala Catchment",29.25,36.44,33.52,Positive
1223,9/5/2022,Kothrud Sanjeevan hospital,31.15,36.35,33.8,Positive
1224,9/5/2022,Kothrud Karve road,0,0,0,Negative
1225,9/5/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",30.85,38.21,34.41,Positive
1226,9/5/2022,"Bus Depot (main), Kothrud",30.51,0,34.33,Positive
1227,9/6/2022,"Mahalunge Road, Baner",32.03,0,39.63,Negative
1228,9/6/2022,"Balewadi Phata, Baner",38.92,0,0,Negative
1229,9/6/2022,Aundh,0,0,0,Negative
1230,9/6/2022,"  Someshwarwadi, Pashan",29.27,0,0,Negative
1231,9/6/2022,"DP road, Botanical Garden, Aundh,",33.46,0,34.44,Positive
1232,9/7/2022," Dattawadi, Rajaram Bridge",0,0,0,Negative
1233,9/7/2022,Vitthalwadi/Hingne Shantinagar,28.62,38.61,30.83,Positive
1234,9/7/2022," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,35.37,Negative
1235,9/7/2022,"Shantinagar, Vishrantwadi",26.69,34.38,29.39,Positive
1236,9/8/2022,"Aditya Birla Hospital Road, Under bridge",29.49,0,32.59,Positive
1237,9/8/2022,"Shastri Nagar, Pimpri",28,35.9,30.73,Positive
1238,9/8/2022,"Kasarwadi, Pimple gurav road",29.27,36.88,31.92,Positive
1239,9/8/2022,Dapodi/Sangvi,40.71,0,36.27,Negative
1240,9/12/2022,"Shivajinagar, Vaidhwadi Nala catchment",30.2,0,33.3,Positive
1241,9/12/2022,"Shivajinagar, Chaturshrungi Nala Catchment",28.1,38.7,33.3,Positive
1242,9/12/2022,Kothrud Sanjeevan hospital,32.8,0,35.8,Positive
1243,9/12/2022,Kothrud Karve road,32.7,0,35.4,Positive
1244,9/12/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",28.6,0,34.3,Positive
1245,9/12/2022,"Bus Depot (main), Kothrud",28.2,39,31.4,Positive
1246,13/09/2022,"Mahalunge Road, Baner",0,0,0,Negative
1247,13/09/2022,"Balewadi Phata, Baner",28.5,37.3,32,Positive
1248,13/09/2022,Aundh,38.6,0,0,Negative
1249,13/09/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1250,13/09/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1251,13/09/2022,"DP road, Botanical Garden, Aundh,",30,36.7,33.4,Positive
1252,14/09/2022," Dattawadi, Rajaram Bridge",29.5,0,34.8,Positive
1253,14/09/2022,Vitthalwadi/Hingne Shantinagar,38.9,0,0,Negative
1254,14/09/2022," Kasba Peth, Juna Bazaar, Shivajinagar",32,0,35.6,Positive
1255,14/09/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
1256,15/09/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1257,15/09/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
1258,15/09/2022,"Kasarwadi, Pimple gurav road",30.5,38.7,34.4,Positive
1259,15/09/2022,Dapodi/Sangvi,33.7,0,0,Negative
1260,16/09/2022,"Rahatani, New DP road",39.1,0,35.6,Negative
1261,16/09/2022,"Dapodi, Sai service",33,0,36.6,Negative
1262,16/09/2022,Dapodi Harris Bridge,0,0,33.3,Negative
1263,19/09/2022,"Shivajinagar, Vaidhwadi Nala catchment",28.74,35.56,32.27,Positive
1264,19/09/2022,"Shivajinagar, Chaturshrungi Nala Catchment",30.15,40.39,33.9,Positive
1265,19/09/2022,Kothrud Karve road,0,0,0,Negative
1266,19/09/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",30.61,0,35.39,Positive
1267,19/09/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
1268,20/09/2022,"Mahalunge Road, Baner",38.3,0,0,Negative
1269,20/09/2022,"Balewadi Phata, Baner",31.77,0,36.08,Positive
1270,20/09/2022,Aundh,0,38.99,0,Negative
1271,20/09/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1272,20/09/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1273,20/09/2022,"DP road, Botanical Garden, Aundh,",31.81,0,35.25,Positive
1274,21/09/2022," Dattawadi, Rajaram Bridge",0,37.51,0,Negative
1275,21/09/2022,Vitthalwadi/Hingne Shantinagar,28.46,33.82,31.56,Positive
1276,21/09/2022," Kasba Peth, Juna Bazaar, Shivajinagar",35.89,0,36.7,Negative
1277,21/09/2022,"Shantinagar, Vishrantwadi",29.64,0,31.06,Positive
1278,22/09/2022,"Aditya Birla Hospital Road, Under bridge",0,37.5,0,Negative
1279,22/09/2022,"Shastri Nagar, Pimpri",30.52,36.19,34.55,Positive
1280,22/09/2022,"Kasarwadi, Pimple gurav road",0,38.03,39.17,Negative
1281,22/09/2022,Dapodi/Sangvi,0,0,0,Negative
1282,23/09/2022,"Rahatani, New DP road",33.52,0,35.15,Positive
1283,23/09/2022,"Dapodi, Sai service",0,0,0,Negative
1284,23/09/2022,Dapodi Harris Bridge,38.76,0,37.94,Negative
1285,26/09/2022,"Shivajinagar, Vaidhwadi Nala catchment",30.44,0,33.4,Positive
1286,26/09/2022,"Shivajinagar, Chaturshrungi Nala Catchment",30.93,0,32.7,Positive
1287,26/09/2022,Kothrud Karve road,0,0,30.8,Negative
1288,26/09/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1289,26/09/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
1290,27/09/2022,"Mahalunge Road, Baner",0,0,0,Negative
1291,27/09/2022,"Balewadi Phata, Baner",30.77,29.34,32.49,Positive
1292,27/09/2022,Aundh,0,38.73,0,Negative
1293,27/09/2022,"  Someshwarwadi, Pashan",0,0,14.94,Negative
1294,27/09/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1295,27/09/2022,"DP road, Botanical Garden, Aundh,",0,37.95,23.67,Negative
1296,28/09/2022," Dattawadi, Rajaram Bridge",0,0,0,Negative
1297,28/09/2022,Vitthalwadi/Hingne Shantinagar,0,0,35.44,Negative
1298,28/09/2022," Kasba Peth, Juna Bazaar, Shivajinagar",36.21,0,33.63,Negative
1299,28/09/2022,"Shantinagar, Vishrantwadi",0,37.34,0,Negative
1300,29/09/2022,"Aditya Birla Hospital Road, Under bridge",0,39.48,31.86,Negative
1301,29/09/2022,"Shastri Nagar, Pimpri",41.79,37.2,34.04,Negative
1302,29/09/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1303,29/09/2022,Dapodi/Sangvi,0,0,23.81,Negative
1304,30/09/2022,"Rahatani, New DP road",0,0,0,Negative
1305,30/09/2022,"Dapodi, Sai service",0,0,0,Negative
1306,30/09/2022,Dapodi Harris Bridge,0,0,36.17,Negative
1307,10/3/2022,"Shivajinagar, Vaidhwadi Nala catchment",40.77,0,0,Negative
1308,10/3/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1309,10/3/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
1310,10/3/2022,Kothrud Karve road,0,0,0,Negative
1311,10/3/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",34.81,0,33.45,Positive
1312,10/3/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
1313,10/4/2022,"Mahalunge Road, Baner",0,0,0,Negative
1314,10/4/2022,"Balewadi Phata, Baner",30.44,36.92,31.91,Positive
1315,10/4/2022,Aundh,0,0,0,Negative
1316,10/4/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1317,10/4/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1318,10/4/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1319,10/6/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1320,10/6/2022,"Shastri Nagar, Pimpri",34.1,0,38.16,Negative
1321,10/6/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1322,10/6/2022,Dapodi/Sangvi,0,0,41.13,Negative
1323,10/7/2022,"Rahatani, New DP road",34.44,0,35.39,Positive
1324,10/7/2022,"Dapodi, Sai service",0,0,0,Negative
1325,10/7/2022,Dapodi Harris Bridge,0,0,0,Negative
1326,10/10/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1327,10/10/2022,"Shivajinagar, Chaturshrungi Nala Catchment",32.64,0,35.73,Positive
1328,10/10/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
1329,10/10/2022,Kothrud Karve road,0,0,0,Negative
1330,10/10/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",35.2,0,37.17,Negative
1331,10/10/2022,"Bus Depot (main), Kothrud",32.72,0,35.33,Positive
1332,10/11/2022,Dapodi/Sangvi,0,0,0,Negative
1333,10/11/2022," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1334,10/11/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1335,10/11/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
1336,10/11/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1337,10/12/2022," Dattawadi, Rajaram Bridge",39.21,0,0,Negative
1338,10/12/2022,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1339,10/12/2022," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1340,10/12/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1341,10/12/2022,"Shantinagar, Vishrantwadi",0,0,37.27,Negative
1342,13/10/2022,"Mahalunge Road, Baner",0,0,0,Negative
1343,13/10/2022,"Balewadi Phata, Baner",0,0,37.52,Negative
1344,13/10/2022,Aundh,0,39.18,0,Negative
1345,13/10/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1346,13/10/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1347,13/10/2022,"DP road, Botanical Garden, Aundh,",0,39.58,0,Negative
1348,14/10/2022,"Rahatani, New DP road",30.47,38.02,33.97,Positive
1349,14/10/2022,"Shastri Nagar, Pimpri",33.19,0,35.64,Positive
1350,14/10/2022,"Dapodi, Sai service",0,40.05,0,Negative
1351,14/10/2022,Dapodi Harris Bridge,34.8,0,35.91,Positive
1352,17/10/2022,"Shivajinagar, Vaidhwadi Nala catchment",30.77,0,0,Negative
1353,17/10/2022,"Shivajinagar, Chaturshrungi Nala Catchment",35.67,0,0,Negative
1354,17/10/2022,Kothrud Sanjeevan hospital,32.68,0,36.5,Negative
1355,17/10/2022,Kothrud Karve road,29.84,0,0,Negative
1356,17/10/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",39.8,38.86,0,Negative
1357,17/10/2022,"Bus Depot (main), Kothrud",30.33,39.34,33.67,Positive
1358,18/10/2022,"DP road, Botanical Garden, Aundh,",34.06,37.83,39.7,Negative
1359,18/10/2022,"  Someshwarwadi, Pashan",39.47,0,38.38,Negative
1360,18/10/2022," Jai Bhavani Nagar, Pashan",36.06,0,0,Negative
1361,18/10/2022,Aundh,36.78,0,0,Negative
1362,18/10/2022,"Balewadi Phata, Baner",41.4,39.47,0,Negative
1363,18/10/2022,"Mahalunge Road, Baner",38.78,33.46,0,Negative
1364,19/10/2022," Dattawadi, Rajaram Bridge",35.18,0,0,Negative
1365,19/10/2022,Vitthalwadi/Hingne Shantinagar,37.08,36.54,33.04,Positive
1366,19/10/2022," Kasba Peth, Juna Bazaar, Shivajinagar",31.35,38.25,33.02,Positive
1367,19/10/2022,"RTO Office, Alandi road, Yerwada",0,38.18,39.19,Negative
1368,19/10/2022,"Shantinagar, Vishrantwadi",24.18,0,0,Negative
1369,28/10/2022,"Rahatani, New DP road",39.65,0,39.54,Negative
1370,28/10/2022,"Shastri Nagar, Pimpri",39.83,0,0,Negative
1371,28/10/2022,"Dapodi, Sai service",37.11,0,0,Negative
1372,28/10/2022,Dapodi Harris Bridge,26.56,32.83,29.15,Positive
1373,31/10/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1374,31/10/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,37.33,Negative
1375,31/10/2022,Kothrud Sanjeevan hospital,0,0,36.67,Negative
1376,31/10/2022,Kothrud Karve road,0,0,0,Negative
1377,31/10/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1378,31/10/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
1379,11/1/2022,"Mahalunge Road, Baner",0,0,0,Negative
1380,11/1/2022,"Balewadi Phata, Baner",0,0,35.39,Negative
1381,11/1/2022,Aundh,0,0,0,Negative
1382,11/1/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1383,11/1/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1384,11/1/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1385,11/2/2022," Dattawadi, Rajaram Bridge",0,0,36.43,Negative
1386,11/2/2022,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1387,11/2/2022," Kasba Peth, Juna Bazaar, Shivajinagar",34.06,38.26,32.38,Positive
1388,11/2/2022,"Shantinagar, Vishrantwadi",0,0,35.23,Negative
1389,11/3/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1390,11/3/2022,"Shastri Nagar, Pimpri",0,0,39.47,Negative
1391,11/3/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1392,11/3/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
1393,11/3/2022,Dapodi/Sangvi,0,0,40,Negative
1394,11/4/2022,"Rahatani, New DP road",0,0,0,Negative
1395,11/4/2022,"Wolf Colony, Pimpri",30.31,36.52,29.72,Positive
1396,11/4/2022,"Dapodi, Sai service",35.25,0,33.36,Positive
1397,11/4/2022,Dapodi Harris Bridge,35.07,0,35.09,Positive
1398,11/7/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1399,11/7/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,39.14,Negative
1400,11/7/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
1401,11/7/2022,Kothrud Karve road,0,0,0,Negative
1402,11/7/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1403,11/7/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
1404,11/8/2022,"Mahalunge Road, Baner",0,0,0,Negative
1405,11/8/2022,"Balewadi Phata, Baner",37.22,0,38.49,Negative
1406,11/8/2022,Aundh,0,0,0,Negative
1407,11/8/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1408,11/8/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1409,11/8/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1410,11/9/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
1411,11/9/2022,"RTO Office, Alandi road, Yerwada",36.33,37.99,36.32,Negative
1412,11/9/2022," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1413,11/9/2022," Dattawadi, Rajaram Bridge",0,0,0,Negative
1414,11/9/2022,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1415,11/10/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1416,11/10/2022,"Shastri Nagar, Pimpri",0,0,39.96,Negative
1417,11/10/2022,"Kasarwadi, Pimple gurav road",0,0,41.71,Negative
1418,11/10/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
1419,11/10/2022,Dapodi/Sangvi,0,0,37.61,Negative
1420,11/11/2022,"Rahatani, New DP road",0,38.75,37.65,Negative
1421,11/11/2022,"Wolf Colony, Pimpri",0,0,0,Negative
1422,11/11/2022,"Dapodi, Sai service",0,0,0,Negative
1423,11/11/2022,Dapodi Harris Bridge,0,0,0,Negative
1424,14/11/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1425,14/11/2022,"Shivajinagar, Chaturshrungi Nala Catchment",40.29,0,39.23,Negative
1426,14/11/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
1427,14/11/2022,Kothrud Karve road,0,0,0,Negative
1428,15/11/2022,"Mahalunge Road, Baner",0,0,0,Negative
1429,15/11/2022,"Balewadi Phata, Baner",41.47,0,0,Negative
1430,15/11/2022,Aundh,0,0,0,Negative
1431,15/11/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1432,15/11/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1433,16/11/2022," Dattawadi, Rajaram Bridge",0,0,0,Negative
1434,16/11/2022,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1435,16/11/2022," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1436,16/11/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1437,16/11/2022,"Shantinagar, Vishrantwadi",0,39.44,37,Negative
1438,17/11/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1439,17/11/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
1440,17/11/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1441,17/11/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
1442,17/11/2022,Dapodi/Sangvi,0,0,0,Negative
1443,18/11/2022,"Rahatani, New DP road",0,0,0,Negative
1444,18/11/2022,"Wolf Colony, Pimpri",0,0,39.15,Negative
1445,18/11/2022,"Dapodi, Sai service",0,0,0,Negative
1446,18/11/2022,Dapodi Harris Bridge,0,0,0,Negative
1447,21/11/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
1448,21/11/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,35.71,Negative
1449,21/11/2022,Kothrud Karve road,0,38.75,0,Negative
1450,21/11/2022,Kothrud Sanjeevan hospital,0,39.27,0,Negative
1451,21/11/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,39.58,0,Negative
1452,21/11/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1453,22/11/2022,"Mahalunge Road, Baner",0,0,0,Negative
1454,22/11/2022,"Balewadi Phata, Baner",0,0,0,Negative
1455,22/11/2022,Aundh,0,0,37.42,Negative
1456,22/11/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1457,22/11/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1458,23/11/2022," Dattawadi, Rajaram Bridge",0,0,0,Negative
1459,23/11/2022,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1460,23/11/2022," Kasba Peth, Juna Bazaar, Shivajinagar",0,39.6,0,Negative
